datetime,Temperature (°C),Precipitation (mm),Wind Direction (deg),Wind Speed ​​(m/s),Barometric Pressure (hPa),Sea Level Pressure (hPa),Humidity (%),Insolation (MJ/m^2) per hour,Sunlight (Sec) per hour
2021-01-01 00:00:00,-8.9,0.0,282.6,0.8,1022.7,1028.0,85.9,0.0,0.0
2021-01-01 01:00:00,-9.6,0.0,247.64999999999998,1.0,1022.4,1027.7,86.0,0.0,0.0
2021-01-01 02:00:00,-9.6,0.0,246.10000000000002,1.1,1022.9,1028.2,85.1,0.0,0.0
2021-01-01 03:00:00,-9.9,0.0,127.75,0.8,1022.95,1028.25,83.65,0.0,0.0
2021-01-01 04:00:00,-9.8,0.0,137.7,1.5,1022.3,1027.6,86.15,0.0,0.0
2021-01-01 05:00:00,-9.55,0.0,111.9,1.45,1021.8,1027.1,87.1,0.0,0.0
2021-01-01 06:00:00,-8.4,0.0,138.39999999999998,1.3,1022.0,1027.2,88.1,0.0,0.0
2021-01-01 07:00:00,-8.3,0.0,142.10000000000002,1.2,1022.0,1027.2,89.2,0.0,0.0
2021-01-01 08:00:00,-7.8,0.0,120.0,1.4,1022.1,1027.3,89.7,0.17,0.0
2021-01-01 09:00:00,-6.5,0.0,115.65,1.35,1022.5,1027.7,83.8,0.5900000000000001,1680.0
2021-01-01 10:00:00,-4.7,0.0,134.2,1.6,1022.3499999999999,1027.55,76.8,1.19,2520.0
2021-01-01 11:00:00,-2.9,0.0,167.25,2.1,1021.5,1026.6,66.95,1.6600000000000001,3540.0
2021-01-01 12:00:00,-1.6,0.0,179.8,2.3,1020.7,1025.8,66.8,1.7500000000000004,3540.0
2021-01-01 13:00:00,-0.95,0.0,188.8,2.45,1019.9,1025.0,69.3,1.5499999999999998,3540.0
2021-01-01 14:00:00,-0.7,0.0,190.45,2.0,1019.8,1024.9,70.7,0.7800000000000002,1380.0
2021-01-01 15:00:00,-0.3,0.0,215.1,2.2,1019.7,1024.8,68.6,0.5899999999999999,780.0
2021-01-01 16:00:00,-0.6,0.0,226.7,2.3,1019.9,1025.0,74.80000000000001,0.16999999999999993,0.0
2021-01-01 17:00:00,-1.5,0.0,219.5,1.7,1019.9,1025.0,84.25,0.0,0.0
2021-01-01 18:00:00,-2.2,0.0,246.45,0.8,1020.0,1025.1,89.4,0.0,0.0
2021-01-01 19:00:00,-2.5,0.0,0.0,0.1,1020.1,1025.2,91.75,0.0,0.0
2021-01-01 20:00:00,-2.8,0.0,54.85,0.15000000000000002,1020.4,1025.5,94.3,0.0,0.0
2021-01-01 21:00:00,-2.8,0.0,281.15,0.3,1020.7,1025.8,94.4,0.0,0.0
2021-01-01 22:00:00,-3.6,0.0,284.55,0.5,1021.0,1026.1,95.7,0.0,0.0
2021-01-01 23:00:00,-3.7,0.0,311.5,0.95,1020.8,1026.0,89.45,0.0,0.0
2021-01-02 00:00:00,-4.2,0.0,308.8,1.4,1020.9,1026.1,77.55000000000001,0.0,0.0
2021-01-02 01:00:00,-3.6,0.0,337.29999999999995,1.95,1021.3,1026.4,57.45,0.0,0.0
2021-01-02 02:00:00,-4.05,0.0,316.55,2.6,1021.7,1026.9,38.6,0.0,0.0
2021-01-02 03:00:00,-5.3,0.0,306.55,2.25,1021.7,1026.9,41.1,0.0,0.0
