Hour,Date,P(kWh),h_max
00,2022-01-01,0,175478.0
01,2022-01-01,0,175478.0
02,2022-01-01,0,175478.0
03,2022-01-01,0,175478.0
04,2022-01-01,0,175478.0
05,2022-01-01,0,175478.0
06,2022-01-01,0,175478.0
07,2022-01-01,1,175479.0
08,2022-01-01,3,175482.0
09,2022-01-01,8,175490.0
10,2022-01-01,57,175547.0
11,2022-01-01,72,175619.0
12,2022-01-01,73,175692.0
13,2022-01-01,67,175759.0
14,2022-01-01,61,175820.0
15,2022-01-01,42,175862.0
16,2022-01-01,10,175872.0
17,2022-01-01,0,175872.0
18,2022-01-01,0,175872.0
19,2022-01-01,0,175872.0
20,2022-01-01,0,175872.0
21,2022-01-01,0,175872.0
22,2022-01-01,0,175872.0
23,2022-01-01,0,175872.0
Hour,Date,P(kWh),h_max
00,2022-01-02,0,175872.0
01,2022-01-02,0,175872.0
02,2022-01-02,0,175872.0
03,2022-01-02,0,175872.0
04,2022-01-02,0,175872.0
05,2022-01-02,0,175872.0
06,2022-01-02,0,175872.0
07,2022-01-02,1,175873.0
08,2022-01-02,5,175878.0
09,2022-01-02,12,175890.0
10,2022-01-02,51,175941.0
11,2022-01-02,52,175993.0
12,2022-01-02,43,176036.0
13,2022-01-02,62,176098.0
14,2022-01-02,37,176135.0
15,2022-01-02,32,176167.0
16,2022-01-02,11,176178.0
17,2022-01-02,1,176179.0
18,2022-01-02,0,176179.0
19,2022-01-02,0,176179.0
20,2022-01-02,0,176179.0
21,2022-01-02,0,176179.0
22,2022-01-02,0,176179.0
23,2022-01-02,0,176179.0
Hour,Date,P(kWh),h_max
00,2022-01-03,0,176179.0
01,2022-01-03,0,176179.0
02,2022-01-03,0,176179.0
03,2022-01-03,0,176179.0
04,2022-01-03,0,176179.0
05,2022-01-03,0,176179.0
06,2022-01-03,0,176179.0
07,2022-01-03,0,176179.0
08,2022-01-03,3,176182.0
09,2022-01-03,9,176191.0
10,2022-01-03,55,176246.0
11,2022-01-03,69,176315.0
12,2022-01-03,73,176388.0
13,2022-01-03,66,176454.0
14,2022-01-03,56,176510.0
15,2022-01-03,37,176547.0
16,2022-01-03,11,176558.0
17,2022-01-03,1,176559.0
18,2022-01-03,0,176559.0
19,2022-01-03,0,176559.0
20,2022-01-03,0,176559.0
21,2022-01-03,0,176559.0
