Hour,Date,P(kWh),h_max
00,2021-10-01,0,143366.0
01,2021-10-01,0,143366.0
02,2021-10-01,0,143366.0
03,2021-10-01,0,143366.0
04,2021-10-01,0,143366.0
05,2021-10-01,0,143366.0
06,2021-10-01,1,143367.0
07,2021-10-01,6,143373.0
08,2021-10-01,30,143403.0
09,2021-10-01,58,143461.0
10,2021-10-01,72,143533.0
11,2021-10-01,79,143612.0
12,2021-10-01,80,143692.0
13,2021-10-01,66,143758.0
14,2021-10-01,61,143819.0
15,2021-10-01,44,143863.0
16,2021-10-01,24,143887.0
17,2021-10-01,5,143892.0
18,2021-10-01,0,143892.0
19,2021-10-01,0,143892.0
20,2021-10-01,0,143892.0
21,2021-10-01,0,143892.0
22,2021-10-01,0,143892.0
23,2021-10-01,0,143892.0
Hour,Date,P(kWh),h_max
00,2021-10-02,0,143892.0
01,2021-10-02,0,143892.0
02,2021-10-02,0,143892.0
03,2021-10-02,0,143892.0
04,2021-10-02,0,143892.0
05,2021-10-02,0,143892.0
06,2021-10-02,1,143893.0
07,2021-10-02,8,143901.0
08,2021-10-02,26,143927.0
09,2021-10-02,55,143982.0
10,2021-10-02,70,144052.0
11,2021-10-02,77,144129.0
12,2021-10-02,79,144208.0
13,2021-10-02,74,144282.0
14,2021-10-02,63,144345.0
15,2021-10-02,44,144389.0
16,2021-10-02,23,144412.0
17,2021-10-02,5,144417.0
18,2021-10-02,0,144417.0
19,2021-10-02,0,144417.0
20,2021-10-02,0,144417.0
21,2021-10-02,0,144417.0
22,2021-10-02,0,144417.0
23,2021-10-02,0,144417.0
Hour,Date,P(kWh),h_max
00,2021-10-03,0,144417.0
01,2021-10-03,0,144417.0
02,2021-10-03,0,144417.0
03,2021-10-03,0,144417.0
04,2021-10-03,0,144417.0
05,2021-10-03,0,144417.0
06,2021-10-03,1,144418.0
07,2021-10-03,7,144425.0
08,2021-10-03,27,144452.0
09,2021-10-03,56,144508.0
10,2021-10-03,70,144578.0
11,2021-10-03,77,144655.0
12,2021-10-03,77,144732.0
13,2021-10-03,72,144804.0
14,2021-10-03,62,144866.0
15,2021-10-03,39,144905.0
16,2021-10-03,17,144922.0
17,2021-10-03,5,144927.0
18,2021-10-03,0,144927.0
19,2021-10-03,0,144927.0
20,2021-10-03,0,144927.0
21,2021-10-03,0,144927.0
22,2021-10-03,0,144927.0
23,2021-10-03,0,144927.0
Hour,Date,P(kWh),h_max
00,2021-10-04,0,144927.0
01,2021-10-04,0,144927.0
02,2021-10-04,0,144927.0
03,2021-10-04,0,144927.0
04,2021-10-04,0,144927.0
05,2021-10-04,0,144927.0
06,2021-10-04,2,144929.0
07,2021-10-04,7,144936.0
08,2021-10-04,23,144959.0
09,2021-10-04,30,144989.0
10,2021-10-04,50,145039.0
11,2021-10-04,65,145104.0
12,2021-10-04,48,145152.0
13,2021-10-04,56,145208.0
14,2021-10-04,52,145260.0
15,2021-10-04,45,145305.0
16,2021-10-04,16,145321.0
17,2021-10-04,3,145324.0
18,2021-10-04,0,145324.0
19,2021-10-04,0,145324.0
20,2021-10-04,0,145324.0
21,2021-10-04,0,145324.0
22,2021-10-04,0,145324.0
23,2021-10-04,0,145324.0
Hour,Date,P(kWh),h_max
00,2021-10-05,0,145324.0
01,2021-10-05,0,145324.0
02,2021-10-05,0,145324.0
03,2021-10-05,0,145324.0
04,2021-10-05,0,145324.0
05,2021-10-05,0,145324.0
06,2021-10-05,1,145325.0
07,2021-10-05,6,145331.0
08,2021-10-05,26,145357.0
09,2021-10-05,57,145414.0
10,2021-10-05,71,145485.0
11,2021-10-05,75,145560.0
12,2021-10-05,73,145633.0
13,2021-10-05,67,145700.0
14,2021-10-05,64,145764.0
15,2021-10-05,45,145809.0
16,2021-10-05,21,145830.0
17,2021-10-05,4,145834.0
18,2021-10-05,0,145834.0
19,2021-10-05,0,145834.0
20,2021-10-05,0,145834.0
21,2021-10-05,0,145834.0
22,2021-10-05,0,145834.0
23,2021-10-05,0,145834.0
Hour,Date,P(kWh),h_max
00,2021-10-06,0,145834.0
01,2021-10-06,0,145834.0
02,2021-10-06,0,145834.0
03,2021-10-06,0,145834.0
04,2021-10-06,0,145834.0
05,2021-10-06,0,145834.0
06,2021-10-06,1,145835.0
07,2021-10-06,7,145842.0
08,2021-10-06,26,145868.0
09,2021-10-06,33,145901.0
10,2021-10-06,41,145942.0
11,2021-10-06,22,145964.0
12,2021-10-06,13,145977.0
13,2021-10-06,17,145994.0
14,2021-10-06,25,146019.0
15,2021-10-06,16,146035.0
16,2021-10-06,5,146040.0
17,2021-10-06,1,146041.0
