Hour,Date,P(kWh),h_max
00,2022-06-01,0,239889.0
01,2022-06-01,0,239889.0
02,2022-06-01,0,239889.0
03,2022-06-01,0,239889.0
04,2022-06-01,0,239889.0
05,2022-06-01,0,239889.0
11,2022-06-01,246,240135.0
12,2022-06-01,82,240217.0
13,2022-06-01,83,240300.0
14,2022-06-01,81,240381.0
15,2022-06-01,71,240452.0
16,2022-06-01,58,240510.0
17,2022-06-01,38,240548.0
18,2022-06-01,16,240564.0
19,2022-06-01,2,240566.0
20,2022-06-01,0,240566.0
21,2022-06-01,0,240566.0
22,2022-06-01,0,240566.0
23,2022-06-01,0,240566.0
Hour,Date,P(kWh),h_max
00,2022-06-02,0,240566.0
01,2022-06-02,0,240566.0
02,2022-06-02,0,240566.0
03,2022-06-02,0,240566.0
04,2022-06-02,0,240566.0
05,2022-06-02,1,240567.0
11,2022-06-02,219,240786.0
12,2022-06-02,70,240856.0
13,2022-06-02,81,240937.0
14,2022-06-02,67,241004.0
15,2022-06-02,68,241072.0
16,2022-06-02,52,241124.0
17,2022-06-02,33,241157.0
18,2022-06-02,13,241170.0
19,2022-06-02,2,241172.0
20,2022-06-02,0,241172.0
21,2022-06-02,0,241172.0
22,2022-06-02,0,241172.0
23,2022-06-02,0,241172.0
Hour,Date,P(kWh),h_max
00,2022-06-03,0,241172.0
01,2022-06-03,0,241172.0
02,2022-06-03,0,241172.0
03,2022-06-03,0,241172.0
04,2022-06-03,0,241172.0
05,2022-06-03,0,241172.0
06,2022-06-03,5,241177.0
07,2022-06-03,6,241183.0
18,2022-06-03,591,241774.0
19,2022-06-03,1,241775.0
20,2022-06-03,0,241775.0
21,2022-06-03,0,241775.0
22,2022-06-03,0,241775.0
23,2022-06-03,0,241775.0
Hour,Date,P(kWh),h_max
00,2022-06-04,0,241775.0
01,2022-06-04,0,241775.0
02,2022-06-04,0,241775.0
03,2022-06-04,0,241775.0
04,2022-06-04,0,241775.0
05,2022-06-04,2,241777.0
06,2022-06-04,5,241782.0
07,2022-06-04,19,241801.0
18,2022-06-04,391,242192.0
19,2022-06-04,1,242193.0
20,2022-06-04,0,242193.0
21,2022-06-04,0,242193.0
22,2022-06-04,0,242193.0
23,2022-06-04,0,242193.0
Hour,Date,P(kWh),h_max
00,2022-06-05,0,242193.0
01,2022-06-05,0,242193.0
02,2022-06-05,0,242193.0
03,2022-06-05,0,242193.0
04,2022-06-05,0,242193.0
05,2022-06-05,0,242193.0
06,2022-06-05,3,242196.0
07,2022-06-05,8,242204.0
18,2022-06-05,201,242405.0
19,2022-06-05,1,242406.0
20,2022-06-05,0,242406.0
21,2022-06-05,0,242406.0
22,2022-06-05,0,242406.0
23,2022-06-05,0,242406.0
Hour,Date,P(kWh),h_max
00,2022-06-06,0,242406.0
01,2022-06-06,0,242406.0
02,2022-06-06,0,242406.0
03,2022-06-06,0,242406.0
04,2022-06-06,0,242406.0
05,2022-06-06,0,242406.0
06,2022-06-06,1,242407.0
07,2022-06-06,5,242412.0
18,2022-06-06,393,242805.0
19,2022-06-06,2,242807.0
20,2022-06-06,0,242807.0
21,2022-06-06,0,242807.0
22,2022-06-06,0,242807.0
23,2022-06-06,0,242807.0
Hour,Date,P(kWh),h_max
00,2022-06-07,0,242807.0
01,2022-06-07,0,242807.0
02,2022-06-07,0,242807.0
03,2022-06-07,0,242807.0
04,2022-06-07,0,242807.0
05,2022-06-07,0,242807.0
06,2022-06-07,5,242812.0
07,2022-06-07,19,242831.0
18,2022-06-07,540,243371.0
19,2022-06-07,2,243373.0
20,2022-06-07,0,243373.0
21,2022-06-07,0,243373.0
22,2022-06-07,0,243373.0
23,2022-06-07,0,243373.0
Hour,Date,P(kWh),h_max
00,2022-06-08,0,243373.0
01,2022-06-08,0,243373.0
02,2022-06-08,0,243373.0
03,2022-06-08,0,243373.0
04,2022-06-08,0,243373.0
05,2022-06-08,1,243374.0
06,2022-06-08,8,243382.0
07,2022-06-08,17,243399.0
18,2022-06-08,573,243972.0
19,2022-06-08,2,243974.0
20,2022-06-08,0,243974.0
21,2022-06-08,0,243974.0
22,2022-06-08,0,243974.0
23,2022-06-08,0,243974.0
Hour,Date,P(kWh),h_max
00,2022-06-09,0,243974.0
01,2022-06-09,0,243974.0
02,2022-06-09,0,243974.0
03,2022-06-09,0,243974.0
04,2022-06-09,0,243974.0
05,2022-06-09,0,243974.0
06,2022-06-09,5,243979.0
07,2022-06-09,11,243990.0
18,2022-06-09,475,244465.0
19,2022-06-09,3,244468.0
20,2022-06-09,0,244468.0
21,2022-06-09,0,244468.0
22,2022-06-09,0,244468.0
23,2022-06-09,0,244468.0
Hour,Date,P(kWh),h_max
00,2022-06-10,0,244468.0
01,2022-06-10,0,244468.0
02,2022-06-10,0,244468.0
03,2022-06-10,0,244468.0
04,2022-06-10,0,244468.0
05,2022-06-10,2,244470.0
06,2022-06-10,7,244477.0
07,2022-06-10,17,244494.0
18,2022-06-10,322,244816.0
19,2022-06-10,1,244817.0
20,2022-06-10,0,244817.0
21,2022-06-10,0,244817.0
22,2022-06-10,0,244817.0
23,2022-06-10,0,244817.0
Hour,Date,P(kWh),h_max
00,2022-06-11,0,244817.0
01,2022-06-11,0,244817.0
02,2022-06-11,0,244817.0
03,2022-06-11,0,244817.0
04,2022-06-11,0,244817.0
05,2022-06-11,2,244819.0
06,2022-06-11,6,244825.0
07,2022-06-11,15,244840.0
18,2022-06-11,608,245448.0
19,2022-06-11,2,245450.0
20,2022-06-11,0,245450.0
21,2022-06-11,0,245450.0
22,2022-06-11,0,245450.0
23,2022-06-11,0,245450.0
Hour,Date,P(kWh),h_max
00,2022-06-12,0,245450.0
01,2022-06-12,0,245450.0
02,2022-06-12,0,245450.0
03,2022-06-12,0,245450.0
04,2022-06-12,0,245450.0
05,2022-06-12,1,245451.0
06,2022-06-12,6,245457.0
07,2022-06-12,16,245473.0
18,2022-06-12,496,245969.0
19,2022-06-12,2,245971.0
20,2022-06-12,0,245971.0
21,2022-06-12,0,245971.0
22,2022-06-12,0,245971.0
23,2022-06-12,0,245971.0
Hour,Date,P(kWh),h_max
00,2022-06-13,0,245971.0
01,2022-06-13,0,245971.0
02,2022-06-13,0,245971.0
03,2022-06-13,0,245971.0
04,2022-06-13,0,245971.0
05,2022-06-13,1,245972.0
06,2022-06-13,9,245981.0
07,2022-06-13,17,245998.0
18,2022-06-13,509,246507.0
19,2022-06-13,1,246508.0
20,2022-06-13,0,246508.0
21,2022-06-13,0,246508.0
22,2022-06-13,0,246508.0
23,2022-06-13,0,246508.0
Hour,Date,P(kWh),h_max
00,2022-06-14,0,246508.0
01,2022-06-14,0,246508.0
02,2022-06-14,0,246508.0
03,2022-06-14,0,246508.0
04,2022-06-14,0,246508.0
05,2022-06-14,1,246509.0
06,2022-06-14,6,246515.0
07,2022-06-14,16,246531.0
18,2022-06-14,406,246937.0
19,2022-06-14,0,246937.0
20,2022-06-14,0,246937.0
21,2022-06-14,0,246937.0
22,2022-06-14,0,246937.0
23,2022-06-14,0,246937.0
Hour,Date,P(kWh),h_max
