지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
119,2022-06-01 00:01,17.9,0,101.9,.7,1004.3,1008.9,48,0,0
119,2022-06-01 00:02,17.8,0,124.7,.7,1004.3,1008.9,48.1,0,0
119,2022-06-01 00:03,17.8,0,119.8,.7,1004.3,1008.9,48.2,0,0
119,2022-06-01 00:04,17.8,0,107.9,.9,1004.3,1008.9,48.1,0,0
119,2022-06-01 00:05,17.9,0,113.6,1.1,1004.2,1008.8,48.5,0,0
119,2022-06-01 00:06,18,0,109.2,1.2,1004.2,1008.8,48.4,0,0
119,2022-06-01 00:07,18.1,0,113.4,1.2,1004.2,1008.8,48.4,0,0
119,2022-06-01 00:08,18.1,0,113.4,1.3,1004.2,1008.8,48.2,0,0
119,2022-06-01 00:09,18.1,0,107.4,1.3,1004.2,1008.8,48.3,0,0
119,2022-06-01 00:10,18,0,110.1,1.2,1004.2,1008.8,48.1,0,0
119,2022-06-01 00:11,18,0,101.3,1.2,1004.2,1008.8,48.3,0,0
119,2022-06-01 00:12,18,0,101,1.2,1004.2,1008.8,48.1,0,0
119,2022-06-01 00:13,18,0,123.6,1,1004.2,1008.8,48.2,0,0
119,2022-06-01 00:14,18,0,118.2,1.2,1004.3,1008.9,48.5,0,0
119,2022-06-01 00:15,18,0,120.9,1.2,1004.2,1008.8,48.5,0,0
119,2022-06-01 00:16,17.9,0,129.7,1.3,1004.2,1008.8,49,0,0
119,2022-06-01 00:17,17.8,0,133.7,1.1,1004.2,1008.8,49.1,0,0
119,2022-06-01 00:18,17.8,0,138.1,1.5,1004.2,1008.8,49.6,0,0
119,2022-06-01 00:19,17.8,0,136.6,1.4,1004.1,1008.7,49.5,0,0
119,2022-06-01 00:20,17.8,0,140.8,1.5,1004.1,1008.7,50.1,0,0
119,2022-06-01 00:21,17.8,0,151.4,1.9,1004,1008.6,49.9,0,0
119,2022-06-01 00:22,17.7,0,152.8,1.4,1004,1008.6,50.3,0,0
119,2022-06-01 00:23,17.7,0,153.7,1.4,1004,1008.6,50.2,0,0
119,2022-06-01 00:24,17.7,0,130.6,1.2,1004,1008.6,50.2,0,0
119,2022-06-01 00:25,17.7,0,134,1.6,1004,1008.6,50.3,0,0
119,2022-06-01 00:26,17.7,0,146.4,1.3,1004,1008.6,50.1,0,0
119,2022-06-01 00:27,17.7,0,150.4,1.1,1004,1008.6,50.3,0,0
119,2022-06-01 00:28,17.8,0,135.2,1.3,1004,1008.6,49.9,0,0
119,2022-06-01 00:29,17.9,0,131.7,1.6,1004,1008.6,49.6,0,0
119,2022-06-01 00:30,17.9,0,126.1,1.4,1004,1008.6,49.8,0,0
119,2022-06-01 00:31,17.9,0,131.3,1.5,1004,1008.6,50.1,0,0
119,2022-06-01 00:32,17.9,0,133.2,1.4,1004.1,1008.7,50.2,0,0
119,2022-06-01 00:33,17.9,0,137.9,1.5,1004.1,1008.7,49.8,0,0
119,2022-06-01 00:34,17.9,0,129.7,1.3,1004.1,1008.7,49.6,0,0
119,2022-06-01 00:35,17.9,0,149.5,1.2,1004.1,1008.7,49.6,0,0
119,2022-06-01 00:36,17.8,0,140.9,1.2,1004.1,1008.7,49.7,0,0
119,2022-06-01 00:37,17.9,0,136.6,1.2,1004.1,1008.7,49.7,0,0
119,2022-06-01 00:38,17.9,0,134.7,1.4,1004.1,1008.7,49.7,0,0
119,2022-06-01 00:39,17.9,0,129.5,1.4,1004.1,1008.7,49.9,0,0
119,2022-06-01 00:40,17.8,0,122.7,1.6,1004.1,1008.7,50.1,0,0
119,2022-06-01 00:41,17.7,0,134.5,2,1004.1,1008.7,50.1,0,0
119,2022-06-01 00:42,17.7,0,147.1,1.6,1004,1008.6,50.3,0,0
119,2022-06-01 00:43,17.7,0,143.6,1.2,1004,1008.6,50.6,0,0
119,2022-06-01 00:44,17.7,0,135.1,1.4,1004,1008.6,49.9,0,0
119,2022-06-01 00:45,17.8,0,126.2,1.4,1004,1008.6,50.3,0,0
119,2022-06-01 00:46,17.8,0,132.6,1.4,1004,1008.6,50.5,0,0
119,2022-06-01 00:47,17.8,0,120.2,1.4,1003.9,1008.5,50.6,0,0
119,2022-06-01 00:48,17.8,0,124.1,1.3,1003.9,1008.5,50.7,0,0
119,2022-06-01 00:49,17.7,0,124.8,1.2,1003.9,1008.5,50.5,0,0
119,2022-06-01 00:50,17.7,0,126.2,1.1,1003.9,1008.5,50.4,0,0
119,2022-06-01 00:51,17.7,0,117.8,1.2,1003.9,1008.5,50.4,0,0
119,2022-06-01 00:52,17.7,0,117.7,1.2,1003.9,1008.5,50.4,0,0
