Hour,Date,P(kWh),h_max
00,2022-04-01,0,206779.0
01,2022-04-01,0,206779.0
02,2022-04-01,0,206779.0
03,2022-04-01,0,206779.0
04,2022-04-01,0,206779.0
05,2022-04-01,0,206779.0
06,2022-04-01,1,206780.0
07,2022-04-01,7,206787.0
08,2022-04-01,26,206813.0
09,2022-04-01,46,206859.0
10,2022-04-01,64,206923.0
11,2022-04-01,77,207000.0
12,2022-04-01,86,207086.0
13,2022-04-01,75,207161.0
14,2022-04-01,79,207240.0
15,2022-04-01,71,207311.0
16,2022-04-01,53,207364.0
17,2022-04-01,21,207385.0
18,2022-04-01,3,207388.0
19,2022-04-01,0,207388.0
20,2022-04-01,0,207388.0
21,2022-04-01,0,207388.0
22,2022-04-01,0,207388.0
23,2022-04-01,0,207388.0
Hour,Date,P(kWh),h_max
00,2022-04-02,0,207388.0
01,2022-04-02,0,207388.0
02,2022-04-02,0,207388.0
03,2022-04-02,0,207388.0
04,2022-04-02,0,207388.0
05,2022-04-02,0,207388.0
06,2022-04-02,1,207389.0
07,2022-04-02,8,207397.0
08,2022-04-02,26,207423.0
09,2022-04-02,47,207470.0
10,2022-04-02,65,207535.0
11,2022-04-02,75,207610.0
12,2022-04-02,84,207694.0
13,2022-04-02,85,207779.0
14,2022-04-02,81,207860.0
15,2022-04-02,67,207927.0
16,2022-04-02,45,207972.0
17,2022-04-02,21,207993.0
18,2022-04-02,3,207996.0
19,2022-04-02,0,207996.0
20,2022-04-02,0,207996.0
21,2022-04-02,0,207996.0
22,2022-04-02,0,207996.0
23,2022-04-02,0,207996.0
Hour,Date,P(kWh),h_max
00,2022-04-03,0,207996.0
01,2022-04-03,0,207996.0
02,2022-04-03,0,207996.0
03,2022-04-03,0,207996.0
04,2022-04-03,0,207996.0
05,2022-04-03,0,207996.0
06,2022-04-03,1,207997.0
07,2022-04-03,9,208006.0
08,2022-04-03,26,208032.0
09,2022-04-03,47,208079.0
10,2022-04-03,63,208142.0
11,2022-04-03,75,208217.0
12,2022-04-03,83,208300.0
13,2022-04-03,83,208383.0
14,2022-04-03,79,208462.0
15,2022-04-03,70,208532.0
16,2022-04-03,52,208584.0
17,2022-04-03,23,208607.0
18,2022-04-03,3,208610.0
19,2022-04-03,0,208610.0
20,2022-04-03,0,208610.0
21,2022-04-03,0,208610.0
22,2022-04-03,0,208610.0
23,2022-04-03,0,208610.0
Hour,Date,P(kWh),h_max
00,2022-04-04,0,208610.0
01,2022-04-04,0,208610.0
02,2022-04-04,0,208610.0
03,2022-04-04,0,208610.0
04,2022-04-04,0,208610.0
05,2022-04-04,0,208610.0
06,2022-04-04,2,208612.0
07,2022-04-04,8,208620.0
08,2022-04-04,27,208647.0
09,2022-04-04,48,208695.0
10,2022-04-04,65,208760.0
11,2022-04-04,78,208838.0
12,2022-04-04,84,208922.0
13,2022-04-04,85,209007.0
14,2022-04-04,79,209086.0
15,2022-04-04,70,209156.0
16,2022-04-04,55,209211.0
17,2022-04-04,23,209234.0
18,2022-04-04,3,209237.0
19,2022-04-04,0,209237.0
20,2022-04-04,0,209237.0
21,2022-04-04,0,209237.0
22,2022-04-04,0,209237.0
23,2022-04-04,0,209237.0
Hour,Date,P(kWh),h_max
00,2022-04-05,0,209237.0
01,2022-04-05,0,209237.0
02,2022-04-05,0,209237.0
03,2022-04-05,0,209237.0
04,2022-04-05,0,209237.0
05,2022-04-05,0,209237.0
06,2022-04-05,2,209239.0
07,2022-04-05,11,209250.0
08,2022-04-05,25,209275.0
09,2022-04-05,43,209318.0
10,2022-04-05,58,209376.0
11,2022-04-05,70,209446.0
12,2022-04-05,74,209520.0
13,2022-04-05,70,209590.0
14,2022-04-05,71,209661.0
