지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
119,2022-04-01 00:01,7.2,0,268.7,.4,1023.2,1028.1,83.2,0,0
119,2022-04-01 00:02,7.1,0,266,.4,1023.2,1028.1,82.7,0,0
119,2022-04-01 00:03,7.1,0,279,.3,1023.1,1028,83.1,0,0
119,2022-04-01 00:04,7.1,0,268.1,.5,1023.1,1028,83.4,0,0
119,2022-04-01 00:05,7.1,0,256.2,.5,1023.1,1028,83.1,0,0
119,2022-04-01 00:06,7.1,0,260.7,.5,1023.2,1028.1,83.6,0,0
119,2022-04-01 00:07,7.2,0,279.9,.3,1023.2,1028.1,83.9,0,0
119,2022-04-01 00:08,7.1,0,305.4,.3,1023.3,1028.2,83.6,0,0
119,2022-04-01 00:09,7.1,0,313.4,.1,1023.3,1028.2,83.5,0,0
119,2022-04-01 00:10,7,0,0,0,1023.3,1028.3,83.3,0,0
119,2022-04-01 00:11,7,0,0,.1,1023.3,1028.3,83.6,0,0
119,2022-04-01 00:12,7,0,139.7,.3,1023.3,1028.3,83.7,0,0
119,2022-04-01 00:13,6.9,0,118.8,.4,1023.3,1028.3,83.9,0,0
119,2022-04-01 00:14,6.9,0,124.3,.5,1023.3,1028.3,84.3,0,0
119,2022-04-01 00:15,6.8,0,111.8,.6,1023.3,1028.3,84.2,0,0
119,2022-04-01 00:16,6.9,0,106.9,.9,1023.3,1028.3,84.5,0,0
119,2022-04-01 00:17,7.1,0,102.5,1.3,1023.3,1028.2,84.7,0,0
119,2022-04-01 00:18,7.1,0,99.2,1.4,1023.3,1028.2,85.1,0,0
119,2022-04-01 00:19,7.1,0,97.5,1.6,1023.3,1028.2,84.6,0,0
119,2022-04-01 00:20,7.2,0,103.9,1.7,1023.3,1028.2,84.7,0,0
119,2022-04-01 00:21,7.2,0,110.5,1.6,1023.3,1028.2,84.4,0,0
119,2022-04-01 00:22,7.2,0,120.3,1.8,1023.3,1028.2,84.5,0,0
119,2022-04-01 00:23,7.2,0,128,1.6,1023.3,1028.2,84.1,0,0
119,2022-04-01 00:24,7.1,0,126.5,1.6,1023.2,1028.1,84.1,0,0
119,2022-04-01 00:25,7,0,134.7,1.7,1023.2,1028.2,84,0,0
119,2022-04-01 00:26,7,0,136.8,1.5,1023.3,1028.3,84.4,0,0
119,2022-04-01 00:27,7,0,125.3,1.3,1023.3,1028.3,84.2,0,0
119,2022-04-01 00:28,6.9,0,115.4,1.3,1023.3,1028.3,84.1,0,0
119,2022-04-01 00:29,7,0,116.9,1.3,1023.3,1028.3,84.2,0,0
119,2022-04-01 00:30,7,0,110,1.4,1023.4,1028.4,84.6,0,0
119,2022-04-01 00:31,7.1,0,128.3,1.3,1023.4,1028.3,84,0,0
119,2022-04-01 00:32,7,0,128.8,1.2,1023.4,1028.4,84.1,0,0
119,2022-04-01 00:33,7,0,100.7,1.3,1023.4,1028.4,83.8,0,0
119,2022-04-01 00:34,7.1,0,119.3,1.2,1023.4,1028.3,83.8,0,0
119,2022-04-01 00:35,7,0,121.2,1,1023.4,1028.4,83.9,0,0
119,2022-04-01 00:36,7,0,103.4,.9,1023.4,1028.4,83.8,0,0
119,2022-04-01 00:37,6.9,0,98.3,.9,1023.4,1028.4,84,0,0
119,2022-04-01 00:38,6.9,0,91.2,1,1023.4,1028.4,84,0,0
119,2022-04-01 00:39,6.8,0,117.1,1,1023.4,1028.4,84.1,0,0
119,2022-04-01 00:40,6.8,0,135.7,.9,1023.4,1028.4,84.8,0,0
119,2022-04-01 00:41,6.8,0,119.4,.8,1023.4,1028.4,84.3,0,0
119,2022-04-01 00:42,6.8,0,132.3,.8,1023.4,1028.4,84.6,0,0
119,2022-04-01 00:43,6.9,0,146.5,1,1023.5,1028.5,84.7,0,0
119,2022-04-01 00:44,6.9,0,155.5,1.3,1023.5,1028.5,84.8,0,0
119,2022-04-01 00:45,6.9,0,162.9,1.1,1023.5,1028.5,84.8,0,0
119,2022-04-01 00:46,6.9,0,160.9,1,1023.5,1028.5,84.2,0,0
119,2022-04-01 00:47,6.9,0,148.4,1,1023.5,1028.5,84.7,0,0
119,2022-04-01 00:48,7.1,0,136.5,.9,1023.6,1028.5,85,0,0
119,2022-04-01 00:49,7.2,0,128,.8,1023.6,1028.5,85.1,0,0
119,2022-04-01 00:50,7.3,0,129.1,.9,1023.6,1028.5,84.8,0,0
119,2022-04-01 00:51,7.4,0,118.6,.7,1023.6,1028.5,85.2,0,0
119,2022-04-01 00:52,7.3,0,105.4,.7,1023.7,1028.6,84.3,0,0
119,2022-04-01 00:53,7.2,0,100.7,.8,1023.7,1028.6,84.2,0,0
119,2022-04-01 00:54,7.1,0,92.2,.6,1023.8,1028.8,83.7,0,0
119,2022-04-01 00:55,7,0,100.6,.6,1023.8,1028.8,83.8,0,0
119,2022-04-01 00:56,7,0,106.9,.7,1023.8,1028.8,83.9,0,0
119,2022-04-01 00:57,6.9,0,97.4,1,1023.8,1028.8,84.2,0,0
119,2022-04-01 00:58,7,0,85.2,.6,1023.8,1028.8,84.6,0,0
119,2022-04-01 00:59,6.9,0,95.7,.7,1023.8,1028.8,84.8,0,0
119,2022-04-01 01:00,6.8,0,100.3,.6,1023.7,1028.7,84.5,0,0
119,2022-04-01 01:01,6.8,0,99.7,.7,1023.8,1028.8,84.7,0,0
