date,avg temp,avg wind speed,avg humidity,one (hr),uniform rate (%),insolation (MJ/m2),F_day_power
1/1/2021,-2.3,2.5,60.4,4,40.8,8.78,3130
1/2/2021,-2.2,3,51,8.4,85.7,11.83,4340
1/3/2021,-1.6,3.7,35.6,5.6,57.1,10.27,3530
1/4/2021,-1.5,2.5,52.3,8.4,85.7,10.97,4040
1/5/2021,-1.4,3.4,46.8,3.5,35.7,7.28,2600
1/6/2021,-4.6,3,46.5,8.4,85.7,12.2,4570
1/7/2021,-8.2,6.2,33.8,8.5,85.9,12.88,4770
1/8/2021,-9.6,4.9,34.5,8.5,85.9,12.73,4870
1/9/2021,-7.3,4.3,36.6,8.1,81.8,11.92,4410
1/10/2021,-5.2,3.4,47.3,8.6,86.9,12.46,4590
1/11/2021,-4.2,2,58.5,1.9,19.2,5.77,1510
1/12/2021,-3.4,2.5,59.9,8.6,86,12.13,4410
1/13/2021,1.6,2.5,58.5,8,80,11.04,3940
1/14/2021,2.3,1.5,59.6,8.8,88,12.19,4360
1/15/2021,8.2,2.7,60.9,5.6,56,9.52,2930
1/16/2021,2.4,4.9,38.4,8.4,84,11.6,4340
1/17/2021,-3.3,4.2,35.6,8.2,81.2,13.22,5000
1/18/2021,-2.1,3.4,54,4.5,44.6,8.58,2630
1/19/2021,-3.1,2.7,35.9,9.1,90.1,13.37,4840
1/20/2021,-0.8,1.9,48.4,9.1,90.1,12.69,4470
1/21/2021,4.5,1.6,70.5,5.8,57.4,10.44,3360
1/22/2021,8.3,1.8,87,0,0,2.69,1160
1/23/2021,8,4.4,87.1,0,0,1.29,720
1/24/2021,7.3,3.3,82.3,0,0,3.51,1320
1/25/2021,6.3,2,78.4,3.7,35.9,9.1,3020
1/26/2021,5.9,2.7,84,0,0,1.77,560
1/27/2021,5.1,3.5,58.6,8.7,84.5,13.52,4760
1/28/2021,1.4,4.9,58.9,5.4,52.4,10.87,3430
1/29/2021,-4.2,5.5,30.3,9.3,89.4,14.91,5460
1/30/2021,0.6,2.9,51.5,6.6,63.5,11.43,4420
1/31/2021,3.6,2.3,52.6,9.4,90.4,14.09,4690
2/1/2021,7.4,2.4,76.6,0,0,3.71,1170
2/2/2021,0,5.2,30.4,9.5,90.5,15.64,5540
2/3/2021,-2,2.8,42.4,9.5,90.5,15.43,5390
2/4/2021,1.9,3.8,41.3,9.5,90.5,15.8,5570
2/5/2021,2.5,2.4,41.8,5.7,53.8,11.18,3380
2/6/2021,4.1,1.8,56.1,9.5,89.6,14.15,4790
2/7/2021,6.3,3.5,52.4,8.5,80.2,13.14,4340
2/8/2021,0.9,5.6,27.4,9.7,90.7,16.26,5650
2/9/2021,0.4,4.7,35,9.6,89.7,16.36,5600
2/10/2021,3.2,2.7,50,9.4,87.9,14.34,4840
2/11/2021,5.8,1.9,64.3,6.1,56.5,11.54,3630
2/12/2021,6.6,1.7,62.1,7,64.8,12.95,4700
2/13/2021,7.4,1.9,56.8,9.5,88,15.49,5180
2/14/2021,6.7,1.2,86.8,0.1,0.9,4.26,1370
2/15/2021,6.5,5.8,58.6,7.4,67.9,14.24,4020
2/16/2021,0.1,5.1,41.1,7.8,70.9,15.63,4910
2/17/2021,-4.5,7,33,9.9,90,17.76,5370
2/18/2021,-4,4.7,43.5,9.4,85.5,17.48,6000
2/19/2021,4.1,3.6,38.6,10,90.1,17.84,5870
2/20/2021,11.7,4.3,45.4,9.4,84.7,15.21,4970
2/21/2021,14.3,3.2,45,9.6,86.5,16.64,5260
2/22/2021,15.2,4.8,32.3,9.5,84.8,15.95,4960
2/23/2021,5.1,3.4,32.9,9.7,86.6,16.29,5280
2/24/2021,4.2,2.1,57.6,4.3,38.4,12.07,4150
2/25/2021,5,1.4,82.3,2,17.7,6.92,1810
2/26/2021,8.1,3.7,69.5,2.9,25.7,11.54,3770
2/27/2021,6.3,4,59.5,0.5,4.4,5.17,830
2/28/2021,8.6,1.8,68.5,4.1,36,13.51,3110
3/1/2021,8,3.5,88.1,0,0,3.72,600
3/2/2021,2,2.7,81.4,0.6,5.2,5.8,1040
3/3/2021,3.7,1.6,73.8,7.2,62.6,16.98,4920
3/4/2021,6.5,1.4,77.1,1.4,12.2,10.8,2480
3/5/2021,10.8,1.5,72.4,6.4,55.2,15.77,4980
3/6/2021,5.6,4.3,80.4,0,0,2.27,1790
3/7/2021,4.5,2.2,73,1.7,14.7,10.26,2340
3/8/2021,4.5,2.1,75.6,7.4,63.2,17.12,5360
3/9/2021,7.5,2,63.8,5.6,47.9,14.84,4480
3/10/2021,7.7,3.3,57.3,7.1,60.2,17.67,5190
3/11/2021,8.5,1.6,67.9,7.9,66.9,16.48,5110
3/12/2021,8.7,3.2,88.8,0,0,1.61,760
3/13/2021,9.3,2.5,69.4,8.6,72.3,18.95,5470
3/14/2021,9,2.7,71.5,10.3,86.6,19.62,5160
3/15/2021,11.6,2.8,63.8,8.8,73.9,18.44,5410
3/16/2021,13.4,2.9,68.8,8,66.7,18.51,5500
3/17/2021,8.7,2.1,72.1,10,83.3,20.2,5660
3/18/2021,7.9,2.1,77.3,4.7,38.8,14.63,4070
3/19/2021,9.5,2.5,71.6,0.7,5.8,9.63,3490
3/20/2021,9.1,1.7,88.6,0,0,3.09,890
3/21/2021,9.1,5.1,52,5.7,46.7,16.49,4600
3/22/2021,7.4,4.3,36.4,11.2,91.8,23.48,6880
3/23/2021,10.8,3.1,41.4,11.2,91.8,22.6,6390
3/24/2021,11,2.3,52.1,5.4,43.9,15.39,4310
3/25/2021,12.4,2.8,55.9,11.3,91.9,22.88,6300
3/26/2021,12.5,2.4,57.3,9.9,79.8,21.68,5840
3/27/2021,12.1,2.6,81.6,0.3,2.4,7.74,2010
3/28/2021,16,3.8,68.8,9.9,79.8,23.79,4900
3/29/2021,13.9,3.3,50.4,6.5,52,18.46,5270
3/30/2021,12.9,3.2,38.3,7.8,62.4,20.41,5950
3/31/2021,11.2,2,68.1,11,87.3,22.73,6170
4/1/2021,12.1,3.7,64.9,8.2,65.1,20.18,5230
4/2/2021,13.5,3.8,69.6,1.4,11.1,12.28,3750
4/3/2021,13.5,2.2,87.8,0.1,0.8,7.63,1540
4/4/2021,9.1,5.2,77,0,0,3.36,1360
4/5/2021,8.1,3.5,64.5,10.9,85.8,24.36,6870
4/6/2021,11.7,2.9,53.3,8.9,69.5,21.43,5610
4/7/2021,14.6,2.7,42.9,11.1,86.7,24.77,6530
4/8/2021,11.3,2.6,68.3,11.2,86.8,24.87,6700
4/9/2021,6.7,2.6,81.4,1.6,12.4,6.71,2190
4/10/2021,8,2,68.9,11.5,89.1,25.84,6800
